"x","m","w","y","bin","group","score","T1","T2","T3","T4","S1","S2","S3","S4"
56.86,-0.765,3.601,3.642,0,"B",9.539,3,2,4,3,3,4,3,3
42.27,-1.897,3.548,2.244,1,"A",9.338,2,2,3,3,1,2,2,4
57.39,-0.731,4.245,3.085,0,"B",13.956,2,1,1,2,1,2,2,1
51.93,1.711,3.301,5.814,0,"C",11.895,2,2,2,2,3,4,2,4
,-1.346,2.305,0.516,0,"C",10.728,2,3,2,3,2,3,4,4
66.34,0.428,4.021,5.186,0,"A",9.956,4,3,3,3,1,4,2,3
44.9,-1.063,4.5,1.445,0,"A",10.695,2,,2,1,2,2,3,1
46.98,0.186,1.075,3.355,0,"A",10.778,2,3,3,3,2,2,3,4
58.44,0.134,3.011,4.469,1,"B",12.416,2,2,3,2,2,2,2,4
53.55,-0.01,2.576,2.124,1,"A",9.773,4,5,4,5,3,2,3,5
54.21,1.668,2.552,3.907,1,"B",11.092,4,3,4,4,4,5,5,5
46.94,0.708,3.215,4.989,0,"B",,2,3,3,2,1,1,2,3
76.92,-0.172,1.73,2.774,1,"A",8.297,2,2,1,4,3,2,3,4
31.55,-1.746,2.386,1.577,0,"A",10.375,3,3,2,2,3,2,3,1
61.71,0.61,2.849,3.76,0,"C",14.038,3,3,3,2,4,3,4,5
60.4,1.056,1.377,1.77,0,"B",9.7,4,2,3,2,3,3,5,2
,-0.722,1.551,2.766,0,"B",13.762,2,2,3,2,4,3,2,2
31.54,-1.995,4.408,0.988,0,"B",10.568,3,4,4,5,5,4,4,5
48.44,-0.044,2.55,2.213,1,"B",8.536,2,2,2,2,4,3,4,4
53.49,0.749,4.645,2.88,0,"C",15.865,3,3,3,3,4,4,2,4
45.99,-0.519,3.12,1.105,0,"A",9.972,3,3,3,3,2,2,2,3
50.56,0.983,3.68,4.354,0,"A",12.847,3,3,3,3,2,2,2,3
74.72,1.807,3.859,5.199,0,"B",9.461,3,3,2,3,1,1,2,2
38.23,1.064,3.581,3.31,1,"A",10.477,2,1,4,2,4,2,5,3
54.12,0.33,1.888,2.014,0,"C",17.135,4,3,5,4,2,2,1,1
48.34,-2.859,1.324,0.024,0,"A",11.464,2,2,3,3,3,4,3,2
51.16,-0.007,3.223,1.832,0,"A",10.318,3,3,2,2,3,2,4,1
47.52,0.094,1.566,1.207,0,"C",14.176,4,5,5,5,4,3,2,4
51.21,0.749,2.489,2.079,1,"B",11.938,3,1,3,2,2,3,4,2
54.94,1.669,2.631,3.489,0,"A",10.317,3,4,4,2,4,4,4,2
46.73,-1.75,2.268,2.854,1,"B",13.266,2,2,2,3,2,4,3,4
48.94,-1.48,3.807,4.173,0,"B",10.953,2,2,2,1,1,3,2,3
38.91,,3.238,2.631,0,"B",14.127,5,5,3,3,3,4,3,3
58.63,0.195,2.951,2.859,0,"B",10.219,2,2,4,3,3,3,3,2
60.32,0.209,3.113,2.964,0,"C",15.234,3,3,4,4,3,3,3,4
39.21,-0.826,4.087,2.019,0,"B",13.982,2,3,4,3,5,5,4,2
50.73,-0.36,1.778,3.919,0,"B",12.241,3,3,3,3,4,4,4,4
63.9,1.497,3.23,3.686,1,"C",14.197,2,1,2,2,3,4,3,3
54.77,0.558,1.736,2.15,0,"A",11.101,3,3,2,4,2,2,3,2
55.5,0.351,3.639,4.077,1,"A",9.071,3,4,5,4,4,3,3,4
44.84,-0.011,3.64,1.969,1,"A",7.637,3,4,2,3,3,3,3,3
37.42,-0.637,2.565,3.035,0,"A",9.491,5,4,3,3,3,2,2,4
59.53,0.189,1.623,2.314,0,"B",11.536,3,4,2,2,2,3,2,2
61.6,0.585,3.651,5.125,1,"B",11.206,2,2,2,3,2,4,3,4
69.79,-0.438,1.797,0.942,0,"A",10.411,5,3,4,4,3,3,4,2
64.39,2.052,3.453,5.348,1,"A",9.778,2,3,1,2,3,4,4,4
57.68,-0.722,5.64,3.599,0,"C",12.565,3,2,1,2,5,4,4,5
62.31,-0.317,2.972,2.675,0,"A",11.756,3,2,4,1,2,3,4,3
44.13,-3.259,3.655,0.342,0,"C",9.783,3,3,4,3,2,3,3,1
47.41,-1.086,2.609,3.569,0,"C",11.821,2,3,2,3,2,2,2,4
34.16,-0.669,4.617,2.342,1,"B",14.151,3,3,1,2,1,1,2,3
44.37,0.879,1.104,2.849,0,"A",10.539,3,4,3,3,5,4,5,5
62.51,-1.649,3.608,0.077,0,"A",8.609,2,2,2,2,4,5,2,2
44.68,-0.01,2.763,4.587,0,"A",9.529,4,3,3,1,3,5,3,4
45.91,0.681,3.387,2.492,0,"A",9.473,4,3,2,3,2,2,4,2
40.45,-0.285,1.963,1.311,1,"B",9.432,4,3,3,3,5,3,4,4
48.61,0.028,1.587,4.225,0,"B",11.335,3,3,2,4,4,3,3,4
56.87,-1.241,0.965,2.23,1,"B",12.476,5,5,5,5,5,3,5,5
24.83,-0.089,2.397,0.768,0,"B",9.343,2,1,2,1,3,2,4,4
42.8,-1.345,3.914,3.902,0,"C",16.284,3,3,1,3,2,2,2,2
36.21,0.375,1.926,2.007,1,"B",7.543,4,4,3,3,3,2,3,3
43.07,-1.421,4.939,2.053,0,"A",10.165,3,4,4,3,5,5,5,4
63.02,1.066,3.94,4.235,1,"B",13.033,2,4,4,5,2,2,3,2
51.84,-1.343,3.83,4.015,1,"B",10.75,2,2,1,4,2,3,2,4
50.66,0.412,3.21,2.511,0,"B",14.054,5,4,4,5,5,4,4,3
47.29,-0.266,0.639,-0.021,0,"B",15.182,1,4,4,5,4,5,5,4
46.84,1.53,2.574,2.514,0,"B",11.131,4,3,5,3,2,1,2,5
54.04,0.414,3.214,2.967,1,"B",10.983,2,2,1,2,3,3,3,4
42.85,-0.272,2.571,2.751,0,"A",10.543,4,2,3,4,2,3,2,4
48.1,1.796,3.26,2.939,0,"B",11.602,2,3,2,4,3,2,3,4
37.52,1.108,3.888,4.01,0,"B",10.906,4,3,3,4,4,3,3,4
72.86,2.033,1.873,3.282,0,"B",9.707,3,3,3,4,4,3,4,4
52.85,1.163,5.21,3.325,0,"B",12.828,5,4,3,5,4,4,3,3
52.19,-1.24,4.529,4.731,0,"A",9.708,3,3,3,3,4,4,4,4
53.92,-1.47,2.079,1.965,0,"B",14.026,2,3,3,2,5,5,5,5
37.73,-0.7,2.265,3.557,1,"C",6.71,3,1,2,1,2,3,4,3
39.61,-0.197,2.545,2.438,0,"A",9.295,1,2,2,1,2,2,1,1
49.23,1.364,4.082,4.694,1,"B",14.755,5,5,4,5,3,3,2,1
47.09,-0.335,3.377,2.299,0,"B",8.017,5,3,4,3,2,2,2,2
53.65,-1.883,2.158,0.904,0,"C",15.023,2,1,3,2,3,3,4,3
46.97,1.385,3.281,4.458,0,"B",12.242,4,4,4,5,5,5,4,3
49.29,-1.898,3.143,1.697,0,"C",15.941,2,3,3,3,3,3,2,2
63.18,-0.748,3.079,1.357,0,"B",12.636,2,2,1,4,2,3,3,1
41.1,-0.224,3.484,2.061,1,"A",9.604,3,4,2,3,1,1,1,2
48.35,1.263,2.39,2.078,0,"B",14.173,1,1,1,1,2,1,3,3
56.06,1.503,1.064,3.128,1,"A",8.196,4,5,3,4,4,4,3,3
47.13,-0.664,4.112,3.033,1,"B",11.09,3,4,3,3,5,3,4,4
52.28,-1.144,3.16,0.835,0,"A",9.709,4,4,4,4,3,4,2,4
55.17,0.756,2.082,1.901,0,"C",8.586,4,3,4,3,3,4,4,3
,2.502,3.159,5.202,0,"A",9.428,2,3,3,4,3,3,3,2
35.99,-1.817,3.572,1.379,1,"C",9.543,2,4,4,3,3,3,2,3
63.73,0.011,2.564,2.393,0,"B",9.391,2,3,3,2,3,2,3,3
56.49,-0.835,3.494,2.222,1,"B",11.971,3,3,2,3,3,3,4,4
25.45,-0.464,3.633,2.728,0,"C",16.028,2,3,3,3,2,3,3,2
61.92,-0.325,3.877,3.723,1,"A",9.851,5,4,4,5,4,4,4,4
59.59,1.266,3.547,3.706,0,"B",12.056,3,4,3,2,3,5,3,4
49.78,-0.281,4.298,2.566,1,"A",7.81,2,2,3,3,3,3,4,2
58.89,-1.5,2.874,2.396,0,"C",17.387,3,2,4,3,4,5,4,5
39.34,-1.029,1.152,3.38,0,"C",18.051,5,3,3,3,3,3,3,3
48.43,0.841,5.241,4.797,1,"A",9.967,2,2,3,2,2,3,2,4
52.82,-0.126,3.227,3.74,1,"A",9.709,5,3,2,2,3,3,3,4
52.43,0.462,2.133,4.936,0,"A",11.034,4,2,2,2,2,2,1,3
50.51,-0.135,2.256,2.419,0,"B",11.295,3,3,3,3,4,5,4,4
54.31,-0.235,2.194,2.921,0,"B",13.129,3,4,4,4,3,3,4,3
48.89,-1.67,3.431,0.93,0,"A",11.027,3,4,5,3,5,5,4,2
49.74,-0.431,5.52,3.583,0,"B",12.997,5,4,4,3,2,3,4,2
62.65,-0.965,2.218,2.275,1,"B",12.563,2,3,3,4,3,5,2,2
60.17,0.501,2.851,3.945,0,"A",10.649,3,2,3,3,4,4,4,4
37.79,-1.659,2.073,1.986,0,"C",16.481,2,3,3,4,2,1,2,2
54.98,0.472,2.098,3.446,0,"B",11.981,3,4,5,5,4,2,3,3
42.69,-1.383,3.996,2.321,0,"A",10.375,3,,3,3,3,4,2,3
48.24,1.169,4.716,4.042,0,"A",10.326,4,3,3,3,1,2,3,1
38.46,-1.155,1.024,1.523,0,"B",11.647,3,3,3,1,3,2,2,1
59.74,-0.591,1.795,1.281,1,"B",12.133,2,3,2,2,2,2,4,2
31.39,-1.33,4.102,0.538,1,"A",9.129,2,4,2,3,3,2,2,1
49.96,2.436,4.13,3.778,0,"C",15.859,3,2,3,4,4,3,3,2
53.64,-1.14,5.109,5.043,0,"C",14.995,3,3,2,3,3,3,3,3
37.25,-1.454,2.232,1.872,0,"A",8.586,4,3,2,3,3,3,2,2
42.48,0.475,2.44,5.498,1,"C",14.482,3,2,3,4,5,4,3,4
47.1,0.625,4.045,4.113,0,"C",7.107,2,3,2,2,3,4,3,4
55.14,1.213,3.173,3.958,1,"C",16.358,4,4,4,4,3,3,4,3
46.92,2.054,3.609,5.13,1,"C",4.919,4,3,2,5,4,2,3,3
84.53,2.939,4.798,9.203,1,"C",12.184,4,2,3,3,4,3,2,4
34.03,-1.095,2.724,1.988,0,"B",10.768,4,3,3,3,4,5,4,5
71,0.679,1.945,2.732,0,"A",9.997,1,1,2,1,3,3,3,2
56.84,0.507,1.5,3.117,1,"B",6.976,4,4,2,4,3,2,3,3
46.8,-0.011,2.859,3.19,1,"A",8.128,1,1,1,2,3,3,3,5
46.88,0.155,1.619,3.205,0,"B",10.925,5,5,5,5,4,4,4,2
57.73,1.517,1.809,4.04,0,"B",12.452,4,4,3,3,3,3,4,3
41.69,0.331,4.77,2.996,0,"A",10.189,2,2,2,3,2,2,1,2
41.13,0.288,3.865,2.236,0,"C",13.674,3,5,4,2,3,2,2,4
58.84,1.936,1.674,2.282,0,"A",8.822,3,4,5,3,3,4,2,2
43.41,-1.182,0.958,2.436,0,"A",11.645,4,2,4,2,5,3,2,4
38.45,0.27,1.901,3.341,1,"B",13.205,3,3,3,2,1,2,3,3
56.64,0.326,2.63,1.644,0,"B",10.841,5,4,4,4,1,2,3,3
60.01,0.556,1.789,2.209,0,"C",17.155,1,2,4,3,4,3,3,3
59.26,2.232,0.975,1.362,1,"A",10.411,2,2,2,3,4,4,3,4
43.91,-2.105,1.27,0.924,0,"C",9.369,2,4,3,5,4,3,4,3
61.92,0.588,3.151,2.813,1,"A",9.34,4,5,4,3,2,3,2,1
36.93,0.342,4.298,2.804,0,"C",9.09,1,3,2,2,3,2,3,2
52.68,-0.043,2.68,4.453,0,"A",10.471,3,4,2,5,3,2,3,4
57.27,-0.183,2.47,4.718,1,"C",15.972,3,4,4,2,4,4,4,4
48.24,-0.856,2.378,0.344,1,"A",8.532,3,4,2,3,3,3,2,2
51.13,0.154,3.214,4.071,0,"B",12.659,2,2,3,4,1,3,2,2
54.02,1.038,3.223,6.116,1,"B",15.481,4,4,4,5,4,3,4,3
48.47,0.298,3.288,2.749,0,"B",9.73,4,4,4,3,3,4,3,3
35.7,-1.462,1.621,1.932,0,"B",11.088,4,4,3,4,4,4,3,3
43.56,-1.85,2.647,-1.477,1,"A",11.165,2,3,3,4,4,5,5,3
29.24,-1.759,4.141,2.611,1,"C",-2.119,5,3,4,3,4,4,3,2
55.65,,0.547,1.309,0,"A",10.917,4,4,3,4,3,3,3,4
54.52,-0.665,2.716,2.308,1,"B",11.147,4,3,4,3,3,4,4,5
50.91,0.662,3.282,2.811,0,"B",11.73,3,2,2,3,3,3,5,5
55.49,0.431,4.281,3.557,1,"B",10.241,2,3,4,4,4,3,4,2
61.34,1.414,1.789,1.371,1,"A",8.48,3,4,4,4,5,3,4,3
46.99,0.436,2.895,1.1,0,"B",14.47,2,3,3,3,3,3,3,3
59.3,-0.121,2,1.104,0,"B",9.553,3,3,3,2,5,5,5,5
63.49,2.625,2.99,3.792,0,"C",9.951,3,2,2,1,2,4,1,4
61.73,2.095,2.456,3.465,0,"B",13.682,2,2,3,3,2,2,3,2
58.7,0.755,3.922,3.764,0,"A",11.258,2,2,3,3,3,2,3,3
50.41,-0.198,2.66,3.306,1,"A",8.653,2,2,4,2,3,2,3,4
28.96,-1.225,2.212,1.824,0,"A",10.877,3,3,3,2,4,5,4,4
55.28,1.001,2.886,2.476,0,"C",11.492,2,2,2,3,3,3,4,4
52.03,-0.256,3.914,3.733,1,"B",9.701,3,3,3,2,1,2,2,1
42.45,-2.58,2.322,3.358,1,"C",17.68,3,3,3,4,4,5,4,3
39.2,-0.305,3.868,2.363,0,"C",15.564,3,4,2,3,2,4,2,2
49.91,1.082,2.769,5.918,0,"C",16.083,3,3,3,3,3,2,1,5
44.61,-1.125,2.338,2.528,1,"A",9.596,4,5,3,4,4,5,4,3
59.71,0.004,3.513,2.695,1,"A",10.106,4,4,4,4,4,3,3,4
41.71,-1.316,3.191,0.698,0,"C",11.947,4,5,4,4,2,4,3,2
54.83,1.202,4.572,4.965,0,"B",14.352,2,3,2,1,5,4,4,4
38.42,0.043,2.188,4.626,0,"C",11.223,2,2,4,4,4,3,5,4
66.16,1.633,0.565,4.143,0,"A",11.023,3,4,4,4,4,2,3,3
63.11,1.122,2.343,4.89,0,"A",9.204,4,4,3,5,3,3,4,5
47.03,-0.539,2.997,3.438,1,"C",11.274,4,4,5,4,3,2,3,2
55.8,-0.767,1.978,2.176,1,"A",10.079,5,4,5,4,2,3,4,3
54.5,0.054,2.665,2.595,1,"A",10.265,2,2,2,1,2,2,2,2
50.83,-0.517,3.228,4.033,0,"B",10.034,2,1,2,3,3,3,5,4
32.92,-0.065,2.864,1.315,1,"A",9.209,4,4,3,4,2,2,4,2
54.34,1.001,4.522,3.179,0,"C",10.946,4,4,5,4,3,3,3,5
41.9,-1.999,2.594,1.093,1,"A",8.364,3,3,1,2,4,4,5,5
